id,type,taxi_time,gate (block) hour,runway hour,rwy_day,distance,angle,angle error,shortest path,distance_gate,distance_long,distance_else,rwy,rwy_num,operation_mode,other_moving_ac,QDepDep,QDepArr,QArrDep,QArrArr,NDepDep,NDepArr,NArrDep,NArrArr
11-Aug-2021_RYR553,departure,6.916666666666667,05,06,11,1276.491388008461,325.28447043959886,0,1066.1136592200448,71.1519727783,709.7835036448448,495.55591158531615,23R/05L,1,0,4,0,1,0,0,3,1,0,0
12-Aug-2021_RYR553,departure,9.366666666666667,06,06,12,1514.2828751911245,289.5277190619508,0,1233.6186253090575,139.479225601,793.0457372249411,581.7579123651833,23R/05L,1,0,7,1,0,0,0,2,0,0,0
13-Aug-2021_RYR553,departure,8.716666666666667,06,06,13,1372.2599430716823,536.972271480847,0,1115.8344516316747,83.0918278028,0,1289.1681152688823,23R/05L,1,0,8,2,1,0,0,4,4,0,0
14-Aug-2021_RYR553,departure,8.35,05,06,14,1549.6540537600906,360.73684226500023,0,1354.24344035388,71.1519727783,891.6137929142803,586.8882880675103,23R/05L,1,0,6,3,1,0,0,5,0,0,0
15-Aug-2021_RYR553,departure,8.05,05,06,15,1276.491388008461,325.28447043959886,0,1066.1136592200448,71.1519727783,709.7835036448448,495.55591158531615,23R/05L,1,0,5,2,1,0,0,3,2,0,0
16-Aug-2021_RYR553,departure,8.133333333333333,06,06,16,1434.8214984664824,537.5308236730493,0,1169.8033190408746,91.6845157884,0,1343.1369826780824,23R/05L,1,0,3,0,0,0,0,0,1,0,0
17-Aug-2021_RYR553,departure,8.566666666666666,05,06,17,1910.5713302163654,369.77929166820564,0,1695.4444074353046,88.9090138822,974.8760264943767,846.7862898397887,23R/05L,1,0,2,0,1,0,0,0,2,0,0
18-Aug-2021_RYR553,departure,7.783333333333333,05,06,18,1434.8214984664824,537.5308236730493,0,1169.8033190408746,91.6845157884,0,1343.1369826780824,23R/05L,1,0,8,2,1,0,0,3,4,0,0
19-Aug-2021_RYR553,departure,8.15,05,06,19,1398.2569306604182,362.61888991516065,0,1169.8033190408746,91.6845157884,0,1306.5724148720183,23R/05L,1,0,6,0,1,0,0,2,2,0,0
20-Aug-2021_RYR553,departure,9.85,05,06,20,1484.2354885048826,537.7061732892394,0,1227.4695971589747,83.4322277087,0,1400.8032607961827,23R/05L,1,0,5,1,0,0,0,2,3,0,0
21-Aug-2021_RYR553,departure,8.8,06,06,21,1372.2599430716823,536.972271480847,0,1115.8344516316747,83.0918278028,0,1289.1681152688823,23R/05L,1,0,8,3,1,0,0,4,1,0,0
22-Aug-2021_RYR553,departure,8.966666666666667,06,06,22,1434.8214984664824,537.5308236730493,0,1169.8033190408746,91.6845157884,0,1343.1369826780824,23R/05L,1,0,2,0,0,0,0,0,1,0,0
23-Aug-2021_RYR553,departure,10.916666666666666,06,06,23,2298.1033578349466,384.59448218263185,0,2134.559009072841,91.6845157884,1314.2736708799266,892.14517116662,23R/05L,1,0,6,1,0,0,0,2,2,0,0
24-Aug-2021_RYR553,departure,8.366666666666667,06,06,24,2169.070847924641,454.22207728212777,0,2027.1474836812408,88.9090138822,1014.0460966443912,1066.11573739805,23R/05L,1,0,4,1,0,0,0,2,0,0,0
25-Aug-2021_RYR553,departure,8.566666666666666,06,06,25,2243.820432122034,333.65062714550584,0,2119.7786276831343,71.0274540777,1626.487206640078,546.3057714042561,23R/05L,1,0,4,1,0,0,0,2,1,0,0
26-Aug-2021_RYR553,departure,9.2,05,06,26,2169.070847924641,454.22207728212777,0,2027.1474836812408,88.9090138822,1014.0460966443912,1066.11573739805,23R/05L,1,0,4,0,0,0,0,1,1,0,0
27-Aug-2021_RYR553,departure,8.583333333333334,05,06,27,1330.1304770431914,459.22793719459855,0,1102.6128036347322,91.6845157884,0,1238.4459612547914,23R/05L,1,0,2,1,0,0,0,1,1,0,0
28-Aug-2021_RYR553,departure,10.866666666666667,05,06,28,2169.070847924641,454.22207728212777,0,2027.1474836812408,88.9090138822,1014.0460966443912,1066.11573739805,23R/05L,1,0,9,4,1,0,0,4,1,0,0
29-Aug-2021_RYR553,departure,7.45,06,06,29,1294.6930339427845,335.74228739812827,0,1087.8324222450256,71.0274540777,612.4411099956866,611.2244698693979,23R/05L,1,0,4,1,1,0,0,1,2,0,0
30-Aug-2021_RYR553,departure,10.233333333333333,06,06,30,2770.9220808558675,666.282829032112,0,2573.0969386615207,87.1816780958,1314.2736708799266,1369.4667318801407,23R/05L,1,0,3,1,1,0,0,1,1,0,0
31-Aug-2021_RYR553,departure,8.166666666666666,05,06,31,2187.916330537146,381.6802825227835,0,2027.1474836812408,88.9090138822,1314.2736708799266,784.7336457750198,23R/05L,1,0,4,1,0,0,0,2,2,0,0
01-Sep-2021_RYR553,departure,9.916666666666666,06,06,01,2169.070847924641,454.22207728212777,0,2027.1474836812408,88.9090138822,1014.0460966443912,1066.11573739805,23R/05L,1,0,3,2,0,0,0,2,0,0,0
01-Aug-2021_EXS81FC,departure,12.95,06,06,01,2885.7548913036885,634.7708798526098,0,2662.894927599466,113.648321037,974.8760264943767,1797.2305437723116,23R/05L,1,0,5,2,0,0,0,2,1,0,0
08-Aug-2021_EXS81FC,departure,7.7,05,05,08,2023.811409045447,611.3616571199783,0,1753.2114233464326,126.546722489,746.9421803053973,1150.3225062510496,23R/05L,1,0,5,2,1,0,0,3,1,0,0
15-Aug-2021_EXS81FC,departure,20.216666666666665,05,05,15,3706.0234799105156,720.954750172589,0,2810.5305413087663,96.615863148,1743.1865729575538,1866.221043804962,23R/05L,1,0,6,4,1,0,0,3,1,0,0
