d,taxi_time,gate_block_hour,runway_hour,rwy_day,distance,angle,shortest_path,distance_gate,distance_long,distance_else,rwy_num,operation_mode,other_moving_ac,QDepDep,QDepArr,QArrDep,QArrArr,NDepDep,NDepArr,NArrDep,NArrArr
1,8.716666667,12,13,26,1755.32661,373.3497652,1531.41445,91.68451579,0.0,1663.642094,1,0,13,1,3,0,0,3,6,0,0
1,10.03333333,17,17,30,2378.825194,341.8318419,2263.897307,61.91353602,1626.487207,690.4244509,1,0,3,3,0,0,0,2,1,0,0
1,10.56666667,6,6,21,1388.497947,280.5152182,1099.074575,86.29883817,709.7835036,592.4156047,1,0,5,2,0,0,0,4,1,0,0
0,2.516666667,14,14,27,866.6724177,495.6824406,673.9318402,71.02745408,0.0,795.6449636,1,0,6,0,0,0,1,0,0,2,3
0,4.033333333,14,14,5,2041.862401,416.8343701,1619.398479,113.4852949,0.0,1928.377106,1,0,6,0,0,1,0,0,0,4,1
1,14.85,14,14,28,3543.356527,657.4792921,3303.305291,67.07140836,2008.432048,1467.853071,1,0,5,1,3,0,0,2,3,0,0
1,8.85,7,7,9,1229.107883,322.1819546,1018.854673,71.02745408,709.7835036,448.2969252,1,0,5,2,0,0,0,2,1,0,0
1,11.51666667,4,5,4,2338.08426,610.883169,2073.227103,120.2160719,974.8760265,1242.992161,1,0,8,1,0,0,0,3,2,0,0
1,8.8,6,6,21,1372.259943,536.9722715,1115.834452,83.0918278,0.0,1289.168115,1,0,8,3,1,0,0,4,1,0,0
0,4.35,13,13,13,1123.759476,202.2478329,920.1751788,71.02745408,543.3363432,509.3956788,-1,0,11,0,0,1,0,0,0,7,3
1,10.9,4,4,17,1823.730241,323.1675436,1604.205451,78.33976629,1317.245692,428.1447825,1,0,15,6,0,0,0,8,1,0,0
0,8.366666667,10,10,27,2968.308907,651.3721641,2758.816175,71.3005402,1628.46992,1268.538446,1,0,3,0,0,0,1,0,0,0,1
1,14.53333333,4,4,9,1648.575241,464.0903045,1387.204356,86.29883817,746.9421803,815.3342226,1,0,14,8,1,0,0,8,1,0,0
0,11.86666667,13,13,9,2710.921233,629.7338212,2504.779093,68.88588709,1019.76446,1622.270886,1,0,4,0,0,0,2,0,0,0,3
1,13.53333333,6,6,1,1489.185178,505.757041,1306.984454,71.02745408,746.9421803,671.2155431,1,0,6,2,0,0,0,3,1,0,0
1,14.06666667,6,6,15,3543.356527,657.4792921,3303.305291,67.07140836,2008.432048,1467.853071,1,0,7,1,0,0,0,2,1,0,0
1,8.966666667,15,15,18,1502.270549,357.6343265,1306.984454,71.02745408,891.6137929,539.6293017,1,0,5,1,1,0,0,1,2,0,0
0,8.466666667,12,11,13,2355.906612,558.115393,2306.98169,68.04266946,0.0,2287.863943,1,0,4,0,0,0,1,0,0,0,3
0,7.0,1,1,20,1891.559555,577.9641854,1766.557831,126.2014747,0.0,1765.35808,1,0,1,0,0,0,0,0,0,0,1
1,14.61666667,11,11,13,2070.172348,372.8688409,1860.522211,83.43222771,974.8760265,1011.864093,1,0,9,2,0,0,0,1,3,0,0
0,5.566666667,13,13,12,1986.914963,588.2779238,1819.029906,113.648321,0.0,1873.266642,1,0,5,0,0,1,0,0,0,2,0
1,8.366666667,12,12,16,2020.758358,372.6934913,1802.855933,91.68451579,974.8760265,954.1978152,1,0,8,2,2,0,0,4,4,0,0
0,3.566666667,14,14,27,982.0878714,319.8415791,761.7113083,91.68451579,0.0,890.4033557,1,0,5,0,0,2,0,0,0,3,2
