type,taxi_time,gate (block) hour,runway hour,rwy_day,distance,angle,shortest path,distance_gate,distance_long,distance_else,rwy_num,operation_mode,other_moving_ac,QDepDep,QDepArr,QArrDep,QArrArr,NDepDep,NDepArr,NArrDep,NArrArr
0,19.833333333333332,13,13,10,3183.8939104456495,560.558916908227,2675.1528498379416,110.712389807,796.0465784219341,2277.134942216715,1,0,5,0,0,2,2,0,0,1,1
0,8.133333333333333,13,13,12,1976.255556452784,512.9478844591231,1874.4663922729485,102.035701168,0.0,1874.219855284784,1,0,8,0,0,2,3,0,0,2,3
0,5.7,22,22,14,1896.979610843168,666.5047673619279,1631.9881318476846,127.735225864,0.0,1769.244384979168,1,0,2,0,0,1,0,0,0,2,0
0,9.483333333333333,13,13,17,2977.468916926704,748.3772313009575,2548.003767500846,71.3005402027,1224.2188548686115,1681.949521855392,1,0,6,0,0,2,2,0,0,3,2
0,6.2,12,12,19,2618.08882512763,592.661786164661,2246.3512035080134,110.712389807,796.0465784219341,1711.329856898696,1,0,8,0,0,1,2,0,0,4,2
0,6.366666666666666,22,22,21,2435.2969761719096,504.7618677989566,2303.268038602877,102.035701168,0.0,2333.2612750039098,1,0,6,0,0,0,2,0,0,1,3
0,15.716666666666669,13,13,22,2663.76793065933,627.384433970974,2459.440269168046,67.0714083598,1019.764459621634,1576.9320626778958,1,0,9,0,0,1,4,0,0,1,3
0,8.066666666666666,13,13,24,2679.26957210497,528.5926415986634,2482.801894564871,67.8586664272,1798.0695034291984,813.3414022485713,-1,0,10,0,0,0,2,0,0,3,3
0,5.966666666666667,22,22,28,2861.879403880444,588.845254263872,2481.600236284563,71.3005402027,1019.764459621634,1770.8144040561097,1,0,2,0,0,0,0,0,0,0,1
0,17.583333333333332,13,13,29,2198.663309011541,610.9174445924962,2029.8423138134367,113.648321037,608.7054608738868,1476.309527100654,1,0,9,0,0,3,4,0,0,3,4
0,6.65,13,13,31,2875.5162765086034,650.0239547552701,2670.252676806235,67.0714083598,1628.469920495521,1179.9749476532825,1,0,12,0,0,1,2,0,0,5,6
1,9.333333333333334,23,0,26,1738.3664236437455,815.7337708803923,1486.4065875456372,112.574782287,0.0,1625.7916413567457,-1,0,4,0,1,0,0,1,1,0,0
0,8.316666666666666,23,23,31,2663.76793065933,627.384433970974,2459.440269168046,67.0714083598,1019.764459621634,1576.9320626778958,1,0,3,0,0,0,1,0,0,0,1
0,8.5,0,0,2,2875.5049435466676,650.0239558234068,2670.252676806235,67.0714083598,1628.469920495521,1179.9636146913467,1,0,2,0,0,0,0,0,0,0,1
0,5.7,23,23,2,1986.914963162268,588.2779238082001,1819.029906175248,113.648321037,0.0,1873.266642125268,1,0,4,0,0,0,1,0,0,0,4
