PC1,PC2,taxi_time
803.4015793,177.0447273,6.633333333
-258.9730208,63.57299912,3.583333333
211.3141134,-4.599447612,10.3
-1153.071043,366.5345465,4.016666667
-1352.385677,304.0584308,3.466666667
-699.0584804,-649.2945877,10.2
-526.4152905,-423.622431,9.133333333
-909.8316873,-574.148838,3.316666667
-944.7930861,-350.3268461,3.783333333
-1831.440538,116.9012541,2.45
1460.386748,612.0961902,7.716666667
1872.956228,514.9535839,7
-625.9452859,-613.1201401,10.6
624.1254794,-193.5123539,10.81666667
91.78350654,1039.445798,17.36666667
-67.09163698,919.1632013,5.366666667
-182.9729608,896.5807541,5.416666667
832.7324748,-94.32466125,9.7
762.512347,-1016.427762,12.3
-896.0062266,556.7356044,10.78333333
-1430.96902,376.2242509,8.066666667
558.3975299,-135.6556403,20.9
-242.1408294,-11.96888546,4.35
-530.9000433,-328.0233339,11.73333333
-447.5754121,-383.3229428,8.266666667
1188.495742,120.8225849,6.083333333
-1425.195146,-458.9680784,2.266666667
-81.1232674,-467.5102762,10.45
2699.262879,-636.8388058,15.9
224.0663299,-45.56640136,8.75
617.3222994,12.50605068,15.06666667
-175.6369681,-277.4064051,4.15
-1737.262031,117.0026723,2.466666667
-32.29877837,-425.4784048,11.21666667
1727.672117,318.1749298,14.11666667
2531.251787,-333.2901642,16.53333333
-766.0443679,-500.9159627,3.783333333
508.4107688,1376.20671,12.58333333
-707.6069335,-439.0860416,9.366666667
607.6864182,-1085.430298,11.4
-1679.559872,172.6307915,4.033333333
-641.3473229,-476.0146561,4.1
-960.4648173,-653.5371057,3.466666667
-211.5084112,-1007.54136,8.516666667
634.611523,-174.7258047,9.3
-988.1191412,512.0697067,8.866666667
198.3662289,1145.602237,6.883333333
2311.083665,690.033197,19.58333333
86.3232971,-385.6784182,19.43333333
-877.2234517,614.4905007,3.95
1321.769503,-322.2361344,16.01666667
560.2210642,1256.439749,13.35
-713.7739283,-457.6435693,10.05
-625.9276277,-613.140764,12.91666667
1935.803614,1256.895715,8.016666667
2549.994737,-803.9378385,18.05
273.9535579,-1031.88993,9.4
931.1938606,459.6308693,8.866666667
-358.9667733,-341.7893335,12.08333333
552.4323196,192.9229825,18.31666667
656.597132,-48.47277402,11.5
2547.902317,-628.0772076,16.88333333
-401.7571556,805.0174828,9.333333333
-1073.24453,-655.1419334,3.633333333
482.6745896,-692.4384812,10.88333333
160.2886991,1147.194886,6.183333333
86.33530429,-385.6828101,11.6
2283.222991,-174.3654887,18.93333333
-1159.136756,427.2533969,2.766666667
-447.5821537,-383.3100945,9.9
2633.519583,-669.40412,15.2
509.9289468,-172.505626,20.11666667
-935.5310176,557.3016441,14.88333333
2633.516905,-669.4000981,15.41666667
1117.324031,86.08875397,8.566666667
-937.4671105,591.4302644,3.716666667
750.9171121,-57.47975121,12.56666667
963.6478637,60.34602334,10.96666667
-973.3602997,-381.7937092,7.783333333
-988.0995691,512.0479048,4.3
-1651.350828,162.8943899,2.216666667
169.9289666,-342.6080617,12.01666667
-1412.263678,284.0063388,2.766666667
109.9882322,1103.674035,12.73333333
-275.3782252,-298.7006311,9.183333333
963.6294118,60.36180085,15.61666667
2049.768095,-610.7268532,13.15
1894.543472,573.6038505,11.1
-2234.743635,-87.01464302,0.866666667
-26.5737268,1046.517228,8.65
-432.163515,-95.1312063,4.45
-1533.592737,245.7712215,2.4
-526.426082,-423.6061515,8.5
-1152.907289,-395.185066,9
1216.256035,-409.5246744,9.616666667
1594.770477,258.9732234,14.05
-625.9070532,-613.1634288,15.83333333
-1312.614192,-436.1689308,3.916666667
-588.5101742,797.1530818,4.116666667
-1073.228433,-655.1567728,3.183333333
-460.4198112,766.1621717,4.133333333
160.290809,1147.193954,5.183333333
1866.913077,646.5823901,17.31666667
1640.39845,320.6496119,13.16666667
-2397.663107,-258.2874914,6.4
-364.6855713,-785.6284664,8.383333333
782.3021134,-103.3564849,10.93333333
